# Lorenzo Manunza 14th April 2025

39688 atoms
1 atom types

-148.80048 148.80048 xlo xhi
-87.33000 87.33000 ylo yhi
-5000.00000 5003.35000 zlo zhi

Masses

1 12.011 # C

Atoms

    1 1  148.185607 -86.62 0.00
    2 1  146.955851 -85.91 0.00
    3 1  146.955851 -84.49 0.00
    4 1  148.185607 -83.78 0.00
    5 1  145.726095 -86.62 0.00
    6 1  144.496339 -85.91 0.00
    7 1  144.496339 -84.49 0.00
    8 1  145.726095 -83.78 0.00
    9 1  143.266583 -86.62 0.00
   10 1  142.036826 -85.91 0.00
   11 1  142.036826 -84.49 0.00
   12 1  143.266583 -83.78 0.00
   13 1  140.807070 -86.62 0.00
   14 1  139.577314 -85.91 0.00
   15 1  139.577314 -84.49 0.00
   16 1  140.807070 -83.78 0.00
   17 1  138.347558 -86.62 0.00
   18 1  137.117802 -85.91 0.00
   19 1  137.117802 -84.49 0.00
   20 1  138.347558 -83.78 0.00
   21 1  135.888046 -86.62 0.00
   22 1  134.658290 -85.91 0.00
   23 1  134.658290 -84.49 0.00
   24 1  135.888046 -83.78 0.00
   25 1  133.428534 -86.62 0.00
   26 1  132.198778 -85.91 0.00
   27 1  132.198778 -84.49 0.00
   28 1  133.428534 -83.78 0.00
   29 1  130.969022 -86.62 0.00
   30 1  129.739266 -85.91 0.00
   31 1  129.739266 -84.49 0.00
   32 1  130.969022 -83.78 0.00
   33 1  128.509510 -86.62 0.00
   34 1  127.279754 -85.91 0.00
   35 1  127.279754 -84.49 0.00
   36 1  128.509510 -83.78 0.00
   37 1  126.049998 -86.62 0.00
   38 1  124.820241 -85.91 0.00
   39 1  124.820241 -84.49 0.00
   40 1  126.049998 -83.78 0.00
   41 1  123.590485 -86.62 0.00
   42 1  122.360729 -85.91 0.00
   43 1  122.360729 -84.49 0.00
   44 1  123.590485 -83.78 0.00
   45 1  121.130973 -86.62 0.00
   46 1  119.901217 -85.91 0.00
   47 1  119.901217 -84.49 0.00
   48 1  121.130973 -83.78 0.00
   49 1  118.671461 -86.62 0.00
   50 1  117.441705 -85.91 0.00
   51 1  117.441705 -84.49 0.00
   52 1  118.671461 -83.78 0.00
   53 1  116.211949 -86.62 0.00
   54 1  114.982193 -85.91 0.00
   55 1  114.982193 -84.49 0.00
   56 1  116.211949 -83.78 0.00
   57 1  113.752437 -86.62 0.00
   58 1  112.522681 -85.91 0.00
   59 1  112.522681 -84.49 0.00
   60 1  113.752437 -83.78 0.00
   61 1  111.292925 -86.62 0.00
   62 1  110.063169 -85.91 0.00
   63 1  110.063169 -84.49 0.00
   64 1  111.292925 -83.78 0.00
   65 1  108.833412 -86.62 0.00
   66 1  107.603656 -85.91 0.00
   67 1  107.603656 -84.49 0.00
   68 1  108.833412 -83.78 0.00
   69 1  106.373900 -86.62 0.00
   70 1  105.144144 -85.91 0.00
   71 1  105.144144 -84.49 0.00
   72 1  106.373900 -83.78 0.00
   73 1  103.914388 -86.62 0.00
   74 1  102.684632 -85.91 0.00
   75 1  102.684632 -84.49 0.00
   76 1  103.914388 -83.78 0.00
   77 1  101.454876 -86.62 0.00
   78 1  100.225120 -85.91 0.00
   79 1  100.225120 -84.49 0.00
   80 1  101.454876 -83.78 0.00
   81 1   98.995364 -86.62 0.00
   82 1   97.765608 -85.91 0.00
   83 1   97.765608 -84.49 0.00
   84 1   98.995364 -83.78 0.00
   85 1   96.535852 -86.62 0.00
   86 1   95.306096 -85.91 0.00
   87 1   95.306096 -84.49 0.00
   88 1   96.535852 -83.78 0.00
   89 1   94.076340 -86.62 0.00
   90 1   92.846584 -85.91 0.00
   91 1   92.846584 -84.49 0.00
   92 1   94.076340 -83.78 0.00
   93 1   91.616827 -86.62 0.00
   94 1   90.387071 -85.91 0.00
   95 1   90.387071 -84.49 0.00
   96 1   91.616827 -83.78 0.00
   97 1   89.157315 -86.62 0.00
   98 1   87.927559 -85.91 0.00
   99 1   87.927559 -84.49 0.00
  100 1   89.157315 -83.78 0.00
  101 1   86.697803 -86.62 0.00
  102 1   85.468047 -85.91 0.00
  103 1   85.468047 -84.49 0.00
  104 1   86.697803 -83.78 0.00
  105 1   84.238291 -86.62 0.00
  106 1   83.008535 -85.91 0.00
  107 1   83.008535 -84.49 0.00
  108 1   84.238291 -83.78 0.00
  109 1   81.778779 -86.62 0.00
  110 1   80.549023 -85.91 0.00
  111 1   80.549023 -84.49 0.00
  112 1   81.778779 -83.78 0.00
  113 1   79.319267 -86.62 0.00
  114 1   78.089511 -85.91 0.00
  115 1   78.089511 -84.49 0.00
  116 1   79.319267 -83.78 0.00
  117 1   76.859755 -86.62 0.00
  118 1   75.629999 -85.91 0.00
  119 1   75.629999 -84.49 0.00
  120 1   76.859755 -83.78 0.00
  121 1   74.400242 -86.62 0.00
  122 1   73.170486 -85.91 0.00
  123 1   73.170486 -84.49 0.00
  124 1   74.400242 -83.78 0.00
  125 1   71.940730 -86.62 0.00
  126 1   70.710974 -85.91 0.00
  127 1   70.710974 -84.49 0.00
  128 1   71.940730 -83.78 0.00
  129 1   69.481218 -86.62 0.00
  130 1   68.251462 -85.91 0.00
  131 1   68.251462 -84.49 0.00
  132 1   69.481218 -83.78 0.00
  133 1   67.021706 -86.62 0.00
  134 1   65.791950 -85.91 0.00
  135 1   65.791950 -84.49 0.00
  136 1   67.021706 -83.78 0.00
  137 1   64.562194 -86.62 0.00
  138 1   63.332438 -85.91 0.00
  139 1   63.332438 -84.49 0.00
  140 1   64.562194 -83.78 0.00
  141 1   62.102682 -86.62 0.00
  142 1   60.872926 -85.91 0.00
  143 1   60.872926 -84.49 0.00
  144 1   62.102682 -83.78 0.00
  145 1   59.643170 -86.62 0.00
  146 1   58.413413 -85.91 0.00
  147 1   58.413413 -84.49 0.00
  148 1   59.643170 -83.78 0.00
  149 1   57.183657 -86.62 0.00
  150 1   55.953901 -85.91 0.00
  151 1   55.953901 -84.49 0.00
  152 1   57.183657 -83.78 0.00
  153 1   54.724145 -86.62 0.00
  154 1   53.494389 -85.91 0.00
  155 1   53.494389 -84.49 0.00
  156 1   54.724145 -83.78 0.00
  157 1   52.264633 -86.62 0.00
  158 1   51.034877 -85.91 0.00
  159 1   51.034877 -84.49 0.00
  160 1   52.264633 -83.78 0.00
  161 1   49.805121 -86.62 0.00
  162 1   48.575365 -85.91 0.00
  163 1   48.575365 -84.49 0.00
  164 1   49.805121 -83.78 0.00
  165 1   47.345609 -86.62 0.00
  166 1   46.115853 -85.91 0.00
  167 1   46.115853 -84.49 0.00
  168 1   47.345609 -83.78 0.00
  169 1   44.886097 -86.62 0.00
  170 1   43.656341 -85.91 0.00
  171 1   43.656341 -84.49 0.00
  172 1   44.886097 -83.78 0.00
  173 1   42.426585 -86.62 0.00
  174 1   41.196828 -85.91 0.00
  175 1   41.196828 -84.49 0.00
  176 1   42.426585 -83.78 0.00
  177 1   39.967072 -86.62 0.00
  178 1   38.737316 -85.91 0.00
  179 1   38.737316 -84.49 0.00
  180 1   39.967072 -83.78 0.00
  181 1   37.507560 -86.62 0.00
  182 1   36.277804 -85.91 0.00
  183 1   36.277804 -84.49 0.00
  184 1   37.507560 -83.78 0.00
  185 1   35.048048 -86.62 0.00
  186 1   33.818292 -85.91 0.00
  187 1   33.818292 -84.49 0.00
  188 1   35.048048 -83.78 0.00
  189 1   32.588536 -86.62 0.00
  190 1   31.358780 -85.91 0.00
  191 1   31.358780 -84.49 0.00
  192 1   32.588536 -83.78 0.00
  193 1   30.129024 -86.62 0.00
  194 1   28.899268 -85.91 0.00
  195 1   28.899268 -84.49 0.00
  196 1   30.129024 -83.78 0.00
  197 1   27.669512 -86.62 0.00
  198 1   26.439756 -85.91 0.00
  199 1   26.439756 -84.49 0.00
  200 1   27.669512 -83.78 0.00
  201 1   25.210000 -86.62 0.00
  202 1   23.980243 -85.91 0.00
  203 1   23.980243 -84.49 0.00
  204 1   25.210000 -83.78 0.00
  205 1   22.750487 -86.62 0.00
  206 1   21.520731 -85.91 0.00
  207 1   21.520731 -84.49 0.00
  208 1   22.750487 -83.78 0.00
  209 1   20.290975 -86.62 0.00
  210 1   19.061219 -85.91 0.00
  211 1   19.061219 -84.49 0.00
  212 1   20.290975 -83.78 0.00
  213 1   17.831463 -86.62 0.00
  214 1   16.601707 -85.91 0.00
  215 1   16.601707 -84.49 0.00
  216 1   17.831463 -83.78 0.00
  217 1   15.371951 -86.62 0.00
  218 1   14.142195 -85.91 0.00
  219 1   14.142195 -84.49 0.00
  220 1   15.371951 -83.78 0.00
  221 1   12.912439 -86.62 0.00
  222 1   11.682683 -85.91 0.00
  223 1   11.682683 -84.49 0.00
  224 1   12.912439 -83.78 0.00
  225 1   10.452927 -86.62 0.00
  226 1    9.223171 -85.91 0.00
  227 1    9.223171 -84.49 0.00
  228 1   10.452927 -83.78 0.00
  229 1    7.993414 -86.62 0.00
  230 1    6.763658 -85.91 0.00
  231 1    6.763658 -84.49 0.00
  232 1    7.993414 -83.78 0.00
  233 1    5.533902 -86.62 0.00
  234 1    4.304146 -85.91 0.00
  235 1    4.304146 -84.49 0.00
  236 1    5.533902 -83.78 0.00
  237 1    3.074390 -86.62 0.00
  238 1    1.844634 -85.91 0.00
  239 1    1.844634 -84.49 0.00
  240 1    3.074390 -83.78 0.00
  241 1    0.614878 -86.62 0.00
  242 1   -0.614878 -85.91 0.00
  243 1   -0.614878 -84.49 0.00
  244 1    0.614878 -83.78 0.00
  245 1   -1.844634 -86.62 0.00
  246 1   -3.074390 -85.91 0.00
  247 1   -3.074390 -84.49 0.00
  248 1   -1.844634 -83.78 0.00
  249 1   -4.304146 -86.62 0.00
  250 1   -5.533902 -85.91 0.00
  251 1   -5.533902 -84.49 0.00
  252 1   -4.304146 -83.78 0.00
  253 1   -6.763658 -86.62 0.00
  254 1   -7.993414 -85.91 0.00
  255 1   -7.993414 -84.49 0.00
  256 1   -6.763658 -83.78 0.00
  257 1   -9.223171 -86.62 0.00
  258 1  -10.452927 -85.91 0.00
  259 1  -10.452927 -84.49 0.00
  260 1   -9.223171 -83.78 0.00
  261 1  -11.682683 -86.62 0.00
  262 1  -12.912439 -85.91 0.00
  263 1  -12.912439 -84.49 0.00
  264 1  -11.682683 -83.78 0.00
  265 1  -14.142195 -86.62 0.00
  266 1  -15.371951 -85.91 0.00
  267 1  -15.371951 -84.49 0.00
  268 1  -14.142195 -83.78 0.00
  269 1  -16.601707 -86.62 0.00
  270 1  -17.831463 -85.91 0.00
  271 1  -17.831463 -84.49 0.00
  272 1  -16.601707 -83.78 0.00
  273 1  -19.061219 -86.62 0.00
  274 1  -20.290975 -85.91 0.00
  275 1  -20.290975 -84.49 0.00
  276 1  -19.061219 -83.78 0.00
  277 1  -21.520731 -86.62 0.00
  278 1  -22.750487 -85.91 0.00
  279 1  -22.750487 -84.49 0.00
  280 1  -21.520731 -83.78 0.00
  281 1  -23.980243 -86.62 0.00
  282 1  -25.210000 -85.91 0.00
  283 1  -25.210000 -84.49 0.00
  284 1  -23.980243 -83.78 0.00
  285 1  -26.439756 -86.62 0.00
  286 1  -27.669512 -85.91 0.00
  287 1  -27.669512 -84.49 0.00
  288 1  -26.439756 -83.78 0.00
  289 1  -28.899268 -86.62 0.00
  290 1  -30.129024 -85.91 0.00
  291 1  -30.129024 -84.49 0.00
  292 1  -28.899268 -83.78 0.00
  293 1  -31.358780 -86.62 0.00
  294 1  -32.588536 -85.91 0.00
  295 1  -32.588536 -84.49 0.00
  296 1  -31.358780 -83.78 0.00
  297 1  -33.818292 -86.62 0.00
  298 1  -35.048048 -85.91 0.00
  299 1  -35.048048 -84.49 0.00
  300 1  -33.818292 -83.78 0.00
  301 1  -36.277804 -86.62 0.00
  302 1  -37.507560 -85.91 0.00
  303 1  -37.507560 -84.49 0.00
  304 1  -36.277804 -83.78 0.00
  305 1  -38.737316 -86.62 0.00
  306 1  -39.967072 -85.91 0.00
  307 1  -39.967072 -84.49 0.00
  308 1  -38.737316 -83.78 0.00
  309 1  -41.196828 -86.62 0.00
  310 1  -42.426585 -85.91 0.00
  311 1  -42.426585 -84.49 0.00
  312 1  -41.196828 -83.78 0.00
  313 1  -43.656341 -86.62 0.00
  314 1  -44.886097 -85.91 0.00
  315 1  -44.886097 -84.49 0.00
  316 1  -43.656341 -83.78 0.00
  317 1  -46.115853 -86.62 0.00
  318 1  -47.345609 -85.91 0.00
  319 1  -47.345609 -84.49 0.00
  320 1  -46.115853 -83.78 0.00
  321 1  -48.575365 -86.62 0.00
  322 1  -49.805121 -85.91 0.00
  323 1  -49.805121 -84.49 0.00
  324 1  -48.575365 -83.78 0.00
  325 1  -51.034877 -86.62 0.00
  326 1  -52.264633 -85.91 0.00
  327 1  -52.264633 -84.49 0.00
  328 1  -51.034877 -83.78 0.00
  329 1  -53.494389 -86.62 0.00
  330 1  -54.724145 -85.91 0.00
  331 1  -54.724145 -84.49 0.00
  332 1  -53.494389 -83.78 0.00
  333 1  -55.953901 -86.62 0.00
  334 1  -57.183657 -85.91 0.00
  335 1  -57.183657 -84.49 0.00
  336 1  -55.953901 -83.78 0.00
  337 1  -58.413413 -86.62 0.00
  338 1  -59.643170 -85.91 0.00
  339 1  -59.643170 -84.49 0.00
  340 1  -58.413413 -83.78 0.00
  341 1  -60.872926 -86.62 0.00
  342 1  -62.102682 -85.91 0.00
  343 1  -62.102682 -84.49 0.00
  344 1  -60.872926 -83.78 0.00
  345 1  -63.332438 -86.62 0.00
  346 1  -64.562194 -85.91 0.00
  347 1  -64.562194 -84.49 0.00
  348 1  -63.332438 -83.78 0.00
  349 1  -65.791950 -86.62 0.00
  350 1  -67.021706 -85.91 0.00
  351 1  -67.021706 -84.49 0.00
  352 1  -65.791950 -83.78 0.00
  353 1  -68.251462 -86.62 0.00
  354 1  -69.481218 -85.91 0.00
  355 1  -69.481218 -84.49 0.00
  356 1  -68.251462 -83.78 0.00
  357 1  -70.710974 -86.62 0.00
  358 1  -71.940730 -85.91 0.00
  359 1  -71.940730 -84.49 0.00
  360 1  -70.710974 -83.78 0.00
  361 1  -73.170486 -86.62 0.00
  362 1  -74.400242 -85.91 0.00
  363 1  -74.400242 -84.49 0.00
  364 1  -73.170486 -83.78 0.00
  365 1  -75.629999 -86.62 0.00
  366 1  -76.859755 -85.91 0.00
  367 1  -76.859755 -84.49 0.00
  368 1  -75.629999 -83.78 0.00
  369 1  -78.089511 -86.62 0.00
  370 1  -79.319267 -85.91 0.00
  371 1  -79.319267 -84.49 0.00
  372 1  -78.089511 -83.78 0.00
  373 1  -80.549023 -86.62 0.00
  374 1  -81.778779 -85.91 0.00
  375 1  -81.778779 -84.49 0.00
  376 1  -80.549023 -83.78 0.00
  377 1  -83.008535 -86.62 0.00
  378 1  -84.238291 -85.91 0.00
  379 1  -84.238291 -84.49 0.00
  380 1  -83.008535 -83.78 0.00
  381 1  -85.468047 -86.62 0.00
  382 1  -86.697803 -85.91 0.00
  383 1  -86.697803 -84.49 0.00
  384 1  -85.468047 -83.78 0.00
  385 1  -87.927559 -86.62 0.00
  386 1  -89.157315 -85.91 0.00
  387 1  -89.157315 -84.49 0.00
  388 1  -87.927559 -83.78 0.00
  389 1  -90.387071 -86.62 0.00
  390 1  -91.616827 -85.91 0.00
  391 1  -91.616827 -84.49 0.00
  392 1  -90.387071 -83.78 0.00
  393 1  -92.846584 -86.62 0.00
  394 1  -94.076340 -85.91 0.00
  395 1  -94.076340 -84.49 0.00
  396 1  -92.846584 -83.78 0.00
  397 1  -95.306096 -86.62 0.00
  398 1  -96.535852 -85.91 0.00
  399 1  -96.535852 -84.49 0.00
  400 1  -95.306096 -83.78 0.00
  401 1  -97.765608 -86.62 0.00
  402 1  -98.995364 -85.91 0.00
  403 1  -98.995364 -84.49 0.00
  404 1  -97.765608 -83.78 0.00
  405 1 -100.225120 -86.62 0.00
  406 1 -101.454876 -85.91 0.00
  407 1 -101.454876 -84.49 0.00
  408 1 -100.225120 -83.78 0.00
  409 1 -102.684632 -86.62 0.00
  410 1 -103.914388 -85.91 0.00
  411 1 -103.914388 -84.49 0.00
  412 1 -102.684632 -83.78 0.00
  413 1 -105.144144 -86.62 0.00
  414 1 -106.373900 -85.91 0.00
  415 1 -106.373900 -84.49 0.00
  416 1 -105.144144 -83.78 0.00
  417 1 -107.603656 -86.62 0.00
  418 1 -108.833412 -85.91 0.00
  419 1 -108.833412 -84.49 0.00
  420 1 -107.603656 -83.78 0.00
  421 1 -110.063169 -86.62 0.00
  422 1 -111.292925 -85.91 0.00
  423 1 -111.292925 -84.49 0.00
  424 1 -110.063169 -83.78 0.00
  425 1 -112.522681 -86.62 0.00
  426 1 -113.752437 -85.91 0.00
  427 1 -113.752437 -84.49 0.00
  428 1 -112.522681 -83.78 0.00
  429 1 -114.982193 -86.62 0.00
  430 1 -116.211949 -85.91 0.00
  431 1 -116.211949 -84.49 0.00
  432 1 -114.982193 -83.78 0.00
  433 1 -117.441705 -86.62 0.00
  434 1 -118.671461 -85.91 0.00
  435 1 -118.671461 -84.49 0.00
  436 1 -117.441705 -83.78 0.00
  437 1 -119.901217 -86.62 0.00
  438 1 -121.130973 -85.91 0.00
  439 1 -121.130973 -84.49 0.00
  440 1 -119.901217 -83.78 0.00
  441 1 -122.360729 -86.62 0.00
  442 1 -123.590485 -85.91 0.00
  443 1 -123.590485 -84.49 0.00
  444 1 -122.360729 -83.78 0.00
  445 1 -124.820241 -86.62 0.00
  446 1 -126.049998 -85.91 0.00
  447 1 -126.049998 -84.49 0.00
  448 1 -124.820241 -83.78 0.00
  449 1 -127.279754 -86.62 0.00
  450 1 -128.509510 -85.91 0.00
  451 1 -128.509510 -84.49 0.00
  452 1 -127.279754 -83.78 0.00
  453 1 -129.739266 -86.62 0.00
  454 1 -130.969022 -85.91 0.00
  455 1 -130.969022 -84.49 0.00
  456 1 -129.739266 -83.78 0.00
  457 1 -132.198778 -86.62 0.00
  458 1 -133.428534 -85.91 0.00
  459 1 -133.428534 -84.49 0.00
  460 1 -132.198778 -83.78 0.00
  461 1 -134.658290 -86.62 0.00
  462 1 -135.888046 -85.91 0.00
  463 1 -135.888046 -84.49 0.00
  464 1 -134.658290 -83.78 0.00
  465 1 -137.117802 -86.62 0.00
  466 1 -138.347558 -85.91 0.00
  467 1 -138.347558 -84.49 0.00
  468 1 -137.117802 -83.78 0.00
  469 1 -139.577314 -86.62 0.00
  470 1 -140.807070 -85.91 0.00
  471 1 -140.807070 -84.49 0.00
  472 1 -139.577314 -83.78 0.00
  473 1 -142.036826 -86.62 0.00
  474 1 -143.266583 -85.91 0.00
  475 1 -143.266583 -84.49 0.00
  476 1 -142.036826 -83.78 0.00
  477 1 -144.496339 -86.62 0.00
  478 1 -145.726095 -85.91 0.00
  479 1 -145.726095 -84.49 0.00
  480 1 -144.496339 -83.78 0.00
  481 1 -146.955851 -86.62 0.00
  482 1 -148.185607 -85.91 0.00
  483 1 -148.185607 -84.49 0.00
  484 1 -146.955851 -83.78 0.00
  485 1  148.185607 -82.36 0.00
  486 1  146.955851 -81.65 0.00
  487 1  146.955851 -80.23 0.00
  488 1  148.185607 -79.52 0.00
  489 1  145.726095 -82.36 0.00
  490 1  144.496339 -81.65 0.00
  491 1  144.496339 -80.23 0.00
  492 1  145.726095 -79.52 0.00
  493 1  143.266583 -82.36 0.00
  494 1  142.036826 -81.65 0.00
  495 1  142.036826 -80.23 0.00
  496 1  143.266583 -79.52 0.00
  497 1  140.807070 -82.36 0.00
  498 1  139.577314 -81.65 0.00
  499 1  139.577314 -80.23 0.00
  500 1  140.807070 -79.52 0.00
  501 1  138.347558 -82.36 0.00
  502 1  137.117802 -81.65 0.00
  503 1  137.117802 -80.23 0.00
  504 1  138.347558 -79.52 0.00
  505 1  135.888046 -82.36 0.00
  506 1  134.658290 -81.65 0.00
  507 1  134.658290 -80.23 0.00
  508 1  135.888046 -79.52 0.00
  509 1  133.428534 -82.36 0.00
  510 1  132.198778 -81.65 0.00
  511 1  132.198778 -80.23 0.00
  512 1  133.428534 -79.52 0.00
  513 1  130.969022 -82.36 0.00
  514 1  129.739266 -81.65 0.00
  515 1  129.739266 -80.23 0.00
  516 1  130.969022 -79.52 0.00
  517 1  128.509510 -82.36 0.00
  518 1  127.279754 -81.65 0.00
  519 1  127.279754 -80.23 0.00
  520 1  128.509510 -79.52 0.00
  521 1  126.049998 -82.36 0.00
  522 1  124.820241 -81.65 0.00
  523 1  124.820241 -80.23 0.00
  524 1  126.049998 -79.52 0.00
  525 1  123.590485 -82.36 0.00
  526 1  122.360729 -81.65 0.00
  527 1  122.360729 -80.23 0.00
  528 1  123.590485 -79.52 0.00
  529 1  121.130973 -82.36 0.00
  530 1  119.901217 -81.65 0.00
  531 1  119.901217 -80.23 0.00
  532 1  121.130973 -79.52 0.00
  533 1  118.671461 -82.36 0.00
  534 1  117.441705 -81.65 0.00
  535 1  117.441705 -80.23 0.00
  536 1  118.671461 -79.52 0.00
  537 1  116.211949 -82.36 0.00
  538 1  114.982193 -81.65 0.00
  539 1  114.982193 -80.23 0.00
  540 1  116.211949 -79.52 0.00
  541 1  113.752437 -82.36 0.00
  542 1  112.522681 -81.65 0.00
  543 1  112.522681 -80.23 0.00
  544 1  113.752437 -79.52 0.00
  545 1  111.292925 -82.36 0.00
  546 1  110.063169 -81.65 0.00
  547 1  110.063169 -80.23 0.00
  548 1  111.292925 -79.52 0.00
  549 1  108.833412 -82.36 0.00
  550 1  107.603656 -81.65 0.00
  551 1  107.603656 -80.23 0.00
  552 1  108.833412 -79.52 0.00
  553 1  106.373900 -82.36 0.00
  554 1  105.144144 -81.65 0.00
  555 1  105.144144 -80.23 0.00
  556 1  106.373900 -79.52 0.00
  557 1  103.914388 -82.36 0.00
  558 1  102.684632 -81.65 0.00
  559 1  102.684632 -80.23 0.00
  560 1  103.914388 -79.52 0.00
  561 1  101.454876 -82.36 0.00
  562 1  100.225120 -81.65 0.00
  563 1  100.225120 -80.23 0.00
  564 1  101.454876 -79.52 0.00
  565 1   98.995364 -82.36 0.00
  566 1   97.765608 -81.65 0.00
  567 1   97.765608 -80.23 0.00
  568 1   98.995364 -79.52 0.00
  569 1   96.535852 -82.36 0.00
  570 1   95.306096 -81.65 0.00
  571 1   95.306096 -80.23 0.00
  572 1   96.535852 -79.52 0.00
  573 1   94.076340 -82.36 0.00
  574 1   92.846584 -81.65 0.00
  575 1   92.846584 -80.23 0.00
  576 1   94.076340 -79.52 0.00
  577 1   91.616827 -82.36 0.00
  578 1   90.387071 -81.65 0.00
  579 1   90.387071 -80.23 0.00
  580 1   91.616827 -79.52 0.00
  581 1   89.157315 -82.36 0.00
  582 1   87.927559 -81.65 0.00
  583 1   87.927559 -80.23 0.00
  584 1   89.157315 -79.52 0.00
  585 1   86.697803 -82.36 0.00
  586 1   85.468047 -81.65 0.00
  587 1   85.468047 -80.23 0.00
  588 1   86.697803 -79.52 0.00
  589 1   84.238291 -82.36 0.00
  590 1   83.008535 -81.65 0.00
  591 1   83.008535 -80.23 0.00
  592 1   84.238291 -79.52 0.00
  593 1   81.778779 -82.36 0.00
  594 1   80.549023 -81.65 0.00
  595 1   80.549023 -80.23 0.00
  596 1   81.778779 -79.52 0.00
  597 1   79.319267 -82.36 0.00
  598 1   78.089511 -81.65 0.00
  599 1   78.089511 -80.23 0.00
  600 1   79.319267 -79.52 0.00
  601 1   76.859755 -82.36 0.00
  602 1   75.629999 -81.65 0.00
  603 1   75.629999 -80.23 0.00
  604 1   76.859755 -79.52 0.00
  605 1   74.400242 -82.36 0.00
  606 1   73.170486 -81.65 0.00
  607 1   73.170486 -80.23 0.00
  608 1   74.400242 -79.52 0.00
  609 1   71.940730 -82.36 0.00
  610 1   70.710974 -81.65 0.00
  611 1   70.710974 -80.23 0.00
  612 1   71.940730 -79.52 0.00
  613 1   69.481218 -82.36 0.00
  614 1   68.251462 -81.65 0.00
  615 1   68.251462 -80.23 0.00
