# Lorenzo Manunza 14th April 2025

157768 atoms
1 atom types

-591.51267 591.51267 xlo xhi
-87.33000 87.33000 ylo yhi
-5000.00000 5003.35000 zlo zhi

Masses

1 12.011 # C

Atoms

     1 1  590.897793 -86.62 0.00
     2 1  589.668037 -85.91 0.00
     3 1  589.668037 -84.49 0.00
     4 1  590.897793 -83.78 0.00
     5 1  588.438281 -86.62 0.00
     6 1  587.208525 -85.91 0.00
     7 1  587.208525 -84.49 0.00
     8 1  588.438281 -83.78 0.00
     9 1  585.978769 -86.62 0.00
    10 1  584.749013 -85.91 0.00
    11 1  584.749013 -84.49 0.00
    12 1  585.978769 -83.78 0.00
    13 1  583.519257 -86.62 0.00
    14 1  582.289501 -85.91 0.00
    15 1  582.289501 -84.49 0.00
    16 1  583.519257 -83.78 0.00
    17 1  581.059745 -86.62 0.00
    18 1  579.829989 -85.91 0.00
    19 1  579.829989 -84.49 0.00
    20 1  581.059745 -83.78 0.00
    21 1  578.600233 -86.62 0.00
    22 1  577.370476 -85.91 0.00
    23 1  577.370476 -84.49 0.00
    24 1  578.600233 -83.78 0.00
    25 1  576.140720 -86.62 0.00
    26 1  574.910964 -85.91 0.00
    27 1  574.910964 -84.49 0.00
    28 1  576.140720 -83.78 0.00
    29 1  573.681208 -86.62 0.00
    30 1  572.451452 -85.91 0.00
    31 1  572.451452 -84.49 0.00
    32 1  573.681208 -83.78 0.00
    33 1  571.221696 -86.62 0.00
    34 1  569.991940 -85.91 0.00
    35 1  569.991940 -84.49 0.00
    36 1  571.221696 -83.78 0.00
    37 1  568.762184 -86.62 0.00
    38 1  567.532428 -85.91 0.00
    39 1  567.532428 -84.49 0.00
    40 1  568.762184 -83.78 0.00
    41 1  566.302672 -86.62 0.00
    42 1  565.072916 -85.91 0.00
    43 1  565.072916 -84.49 0.00
    44 1  566.302672 -83.78 0.00
    45 1  563.843160 -86.62 0.00
    46 1  562.613404 -85.91 0.00
    47 1  562.613404 -84.49 0.00
    48 1  563.843160 -83.78 0.00
    49 1  561.383647 -86.62 0.00
    50 1  560.153891 -85.91 0.00
    51 1  560.153891 -84.49 0.00
    52 1  561.383647 -83.78 0.00
    53 1  558.924135 -86.62 0.00
    54 1  557.694379 -85.91 0.00
    55 1  557.694379 -84.49 0.00
    56 1  558.924135 -83.78 0.00
    57 1  556.464623 -86.62 0.00
    58 1  555.234867 -85.91 0.00
    59 1  555.234867 -84.49 0.00
    60 1  556.464623 -83.78 0.00
    61 1  554.005111 -86.62 0.00
    62 1  552.775355 -85.91 0.00
    63 1  552.775355 -84.49 0.00
    64 1  554.005111 -83.78 0.00
    65 1  551.545599 -86.62 0.00
    66 1  550.315843 -85.91 0.00
    67 1  550.315843 -84.49 0.00
    68 1  551.545599 -83.78 0.00
    69 1  549.086087 -86.62 0.00
    70 1  547.856331 -85.91 0.00
    71 1  547.856331 -84.49 0.00
    72 1  549.086087 -83.78 0.00
    73 1  546.626575 -86.62 0.00
    74 1  545.396819 -85.91 0.00
    75 1  545.396819 -84.49 0.00
    76 1  546.626575 -83.78 0.00
    77 1  544.167062 -86.62 0.00
    78 1  542.937306 -85.91 0.00
    79 1  542.937306 -84.49 0.00
    80 1  544.167062 -83.78 0.00
    81 1  541.707550 -86.62 0.00
    82 1  540.477794 -85.91 0.00
    83 1  540.477794 -84.49 0.00
    84 1  541.707550 -83.78 0.00
    85 1  539.248038 -86.62 0.00
    86 1  538.018282 -85.91 0.00
    87 1  538.018282 -84.49 0.00
    88 1  539.248038 -83.78 0.00
    89 1  536.788526 -86.62 0.00
    90 1  535.558770 -85.91 0.00
    91 1  535.558770 -84.49 0.00
    92 1  536.788526 -83.78 0.00
    93 1  534.329014 -86.62 0.00
    94 1  533.099258 -85.91 0.00
    95 1  533.099258 -84.49 0.00
    96 1  534.329014 -83.78 0.00
    97 1  531.869502 -86.62 0.00
    98 1  530.639746 -85.91 0.00
    99 1  530.639746 -84.49 0.00
   100 1  531.869502 -83.78 0.00
   101 1  529.409990 -86.62 0.00
   102 1  528.180234 -85.91 0.00
   103 1  528.180234 -84.49 0.00
   104 1  529.409990 -83.78 0.00
   105 1  526.950477 -86.62 0.00
   106 1  525.720721 -85.91 0.00
   107 1  525.720721 -84.49 0.00
   108 1  526.950477 -83.78 0.00
   109 1  524.490965 -86.62 0.00
   110 1  523.261209 -85.91 0.00
   111 1  523.261209 -84.49 0.00
   112 1  524.490965 -83.78 0.00
   113 1  522.031453 -86.62 0.00
   114 1  520.801697 -85.91 0.00
   115 1  520.801697 -84.49 0.00
   116 1  522.031453 -83.78 0.00
   117 1  519.571941 -86.62 0.00
   118 1  518.342185 -85.91 0.00
   119 1  518.342185 -84.49 0.00
   120 1  519.571941 -83.78 0.00
   121 1  517.112429 -86.62 0.00
   122 1  515.882673 -85.91 0.00
   123 1  515.882673 -84.49 0.00
   124 1  517.112429 -83.78 0.00
   125 1  514.652917 -86.62 0.00
   126 1  513.423161 -85.91 0.00
   127 1  513.423161 -84.49 0.00
   128 1  514.652917 -83.78 0.00
   129 1  512.193405 -86.62 0.00
   130 1  510.963648 -85.91 0.00
   131 1  510.963648 -84.49 0.00
