# Lorenzo Manunza 14th April 2025

197128 atoms
1 atom types

-739.08340 739.08340 xlo xhi
-87.33000 87.33000 ylo yhi
-5000.00000 5003.35000 zlo zhi

Masses

1 12.011 # C

Atoms

     1 1  738.468522 -86.62 0.00
     2 1  737.238766 -85.91 0.00
     3 1  737.238766 -84.49 0.00
     4 1  738.468522 -83.78 0.00
     5 1  736.009010 -86.62 0.00
     6 1  734.779254 -85.91 0.00
     7 1  734.779254 -84.49 0.00
     8 1  736.009010 -83.78 0.00
     9 1  733.549498 -86.62 0.00
    10 1  732.319742 -85.91 0.00
    11 1  732.319742 -84.49 0.00
    12 1  733.549498 -83.78 0.00
    13 1  731.089986 -86.62 0.00
    14 1  729.860230 -85.91 0.00
    15 1  729.860230 -84.49 0.00
    16 1  731.089986 -83.78 0.00
    17 1  728.630473 -86.62 0.00
    18 1  727.400717 -85.91 0.00
    19 1  727.400717 -84.49 0.00
    20 1  728.630473 -83.78 0.00
    21 1  726.170961 -86.62 0.00
    22 1  724.941205 -85.91 0.00
    23 1  724.941205 -84.49 0.00
    24 1  726.170961 -83.78 0.00
    25 1  723.711449 -86.62 0.00
    26 1  722.481693 -85.91 0.00
    27 1  722.481693 -84.49 0.00
    28 1  723.711449 -83.78 0.00
    29 1  721.251937 -86.62 0.00
    30 1  720.022181 -85.91 0.00
    31 1  720.022181 -84.49 0.00
    32 1  721.251937 -83.78 0.00
    33 1  718.792425 -86.62 0.00
    34 1  717.562669 -85.91 0.00
    35 1  717.562669 -84.49 0.00
    36 1  718.792425 -83.78 0.00
    37 1  716.332913 -86.62 0.00
    38 1  715.103157 -85.91 0.00
    39 1  715.103157 -84.49 0.00
    40 1  716.332913 -83.78 0.00
    41 1  713.873401 -86.62 0.00
    42 1  712.643645 -85.91 0.00
    43 1  712.643645 -84.49 0.00
    44 1  713.873401 -83.78 0.00
    45 1  711.413888 -86.62 0.00
    46 1  710.184132 -85.91 0.00
    47 1  710.184132 -84.49 0.00
    48 1  711.413888 -83.78 0.00
    49 1  708.954376 -86.62 0.00
    50 1  707.724620 -85.91 0.00
    51 1  707.724620 -84.49 0.00
    52 1  708.954376 -83.78 0.00
    53 1  706.494864 -86.62 0.00
    54 1  705.265108 -85.91 0.00
    55 1  705.265108 -84.49 0.00
    56 1  706.494864 -83.78 0.00
    57 1  704.035352 -86.62 0.00
    58 1  702.805596 -85.91 0.00
    59 1  702.805596 -84.49 0.00
    60 1  704.035352 -83.78 0.00
    61 1  701.575840 -86.62 0.00
    62 1  700.346084 -85.91 0.00
    63 1  700.346084 -84.49 0.00
    64 1  701.575840 -83.78 0.00
    65 1  699.116328 -86.62 0.00
    66 1  697.886572 -85.91 0.00
    67 1  697.886572 -84.49 0.00
    68 1  699.116328 -83.78 0.00
    69 1  696.656816 -86.62 0.00
    70 1  695.427059 -85.91 0.00
    71 1  695.427059 -84.49 0.00
    72 1  696.656816 -83.78 0.00
    73 1  694.197303 -86.62 0.00
    74 1  692.967547 -85.91 0.00
    75 1  692.967547 -84.49 0.00
    76 1  694.197303 -83.78 0.00
    77 1  691.737791 -86.62 0.00
    78 1  690.508035 -85.91 0.00
    79 1  690.508035 -84.49 0.00
    80 1  691.737791 -83.78 0.00
    81 1  689.278279 -86.62 0.00
    82 1  688.048523 -85.91 0.00
    83 1  688.048523 -84.49 0.00
    84 1  689.278279 -83.78 0.00
    85 1  686.818767 -86.62 0.00
    86 1  685.589011 -85.91 0.00
    87 1  685.589011 -84.49 0.00
    88 1  686.818767 -83.78 0.00
    89 1  684.359255 -86.62 0.00
    90 1  683.129499 -85.91 0.00
    91 1  683.129499 -84.49 0.00
    92 1  684.359255 -83.78 0.00
    93 1  681.899743 -86.62 0.00
    94 1  680.669987 -85.91 0.00
    95 1  680.669987 -84.49 0.00
    96 1  681.899743 -83.78 0.00
    97 1  679.440231 -86.62 0.00
    98 1  678.210474 -85.91 0.00
    99 1  678.210474 -84.49 0.00
   100 1  679.440231 -83.78 0.00
   101 1  676.980718 -86.62 0.00
   102 1  675.750962 -85.91 0.00
   103 1  675.750962 -84.49 0.00
   104 1  676.980718 -83.78 0.00
   105 1  674.521206 -86.62 0.00
   106 1  673.291450 -85.91 0.00
   107 1  673.291450 -84.49 0.00
   108 1  674.521206 -83.78 0.00
   109 1  672.061694 -86.62 0.00
   110 1  670.831938 -85.91 0.00
   111 1  670.831938 -84.49 0.00
   112 1  672.061694 -83.78 0.00
   113 1  669.602182 -86.62 0.00
   114 1  668.372426 -85.91 0.00
   115 1  668.372426 -84.49 0.00
   116 1  669.602182 -83.78 0.00
   117 1  667.142670 -86.62 0.00
   118 1  665.912914 -85.91 0.00
   119 1  665.912914 -84.49 0.00
   120 1  667.142670 -83.78 0.00
   121 1  664.683158 -86.62 0.00
   122 1  663.453402 -85.91 0.00
   123 1  663.453402 -84.49 0.00
   124 1  664.683158 -83.78 0.00
   125 1  662.223646 -86.62 0.00
   126 1  660.993889 -85.91 0.00
   127 1  660.993889 -84.49 0.00
   128 1  662.223646 -83.78 0.00
   129 1  659.764133 -86.62 0.00
   130 1  658.534377 -85.91 0.00
   131 1  658.534377 -84.49 0.00
   132 1  659.764133 -83.78 0.00
   133 1  657.304621 -86.62 0.00
   134 1  656.074865 -85.91 0.00
   135 1  656.074865 -84.49 0.00
   136 1  657.304621 -83.78 0.00
   137 1  654.845109 -86.62 0.00
   138 1  653.615353 -85.91 0.00
   139 1  653.615353 -84.49 0.00
   140 1  654.845109 -83.78 0.00
   141 1  652.385597 -86.62 0.00
   142 1  651.155841 -85.91 0.00
   143 1  651.155841 -84.49 0.00
   144 1  652.385597 -83.78 0.00
   145 1  649.926085 -86.62 0.00
   146 1  648.696329 -85.91 0.00
   147 1  648.696329 -84.49 0.00
   148 1  649.926085 -83.78 0.00
   149 1  647.466573 -86.62 0.00
   150 1  646.236817 -85.91 0.00
   151 1  646.236817 -84.49 0.00
   152 1  647.466573 -83.78 0.00
   153 1  645.007060 -86.62 0.00
   154 1  643.777304 -85.91 0.00
   155 1  643.777304 -84.49 0.00
   156 1  645.007060 -83.78 0.00
   157 1  642.547548 -86.62 0.00
   158 1  641.317792 -85.91 0.00
   159 1  641.317792 -84.49 0.00
   160 1  642.547548 -83.78 0.00
   161 1  640.088036 -86.62 0.00
   162 1  638.858280 -85.91 0.00
   163 1  638.858280 -84.49 0.00
   164 1  640.088036 -83.78 0.00
   165 1  637.628524 -86.62 0.00
   166 1  636.398768 -85.91 0.00
   167 1  636.398768 -84.49 0.00
   168 1  637.628524 -83.78 0.00
   169 1  635.169012 -86.62 0.00
   170 1  633.939256 -85.91 0.00
   171 1  633.939256 -84.49 0.00
   172 1  635.169012 -83.78 0.00
   173 1  632.709500 -86.62 0.00
   174 1  631.479744 -85.91 0.00
   175 1  631.479744 -84.49 0.00
   176 1  632.709500 -83.78 0.00
   177 1  630.249988 -86.62 0.00
   178 1  629.020232 -85.91 0.00
   179 1  629.020232 -84.49 0.00
   180 1  630.249988 -83.78 0.00
   181 1  627.790475 -86.62 0.00
   182 1  626.560719 -85.91 0.00
   183 1  626.560719 -84.49 0.00
   184 1  627.790475 -83.78 0.00
   185 1  625.330963 -86.62 0.00
   186 1  624.101207 -85.91 0.00
   187 1  624.101207 -84.49 0.00
   188 1  625.330963 -83.78 0.00
   189 1  622.871451 -86.62 0.00
   190 1  621.641695 -85.91 0.00
   191 1  621.641695 -84.49 0.00
   192 1  622.871451 -83.78 0.00
   193 1  620.411939 -86.62 0.00
   194 1  619.182183 -85.91 0.00
   195 1  619.182183 -84.49 0.00
   196 1  620.411939 -83.78 0.00
   197 1  617.952427 -86.62 0.00
   198 1  616.722671 -85.91 0.00
   199 1  616.722671 -84.49 0.00
   200 1  617.952427 -83.78 0.00
   201 1  615.492915 -86.62 0.00
   202 1  614.263159 -85.91 0.00
   203 1  614.263159 -84.49 0.00
   204 1  615.492915 -83.78 0.00
   205 1  613.033403 -86.62 0.00
   206 1  611.803647 -85.91 0.00
   207 1  611.803647 -84.49 0.00
   208 1  613.033403 -83.78 0.00
   209 1  610.573890 -86.62 0.00
   210 1  609.344134 -85.91 0.00
   211 1  609.344134 -84.49 0.00
   212 1  610.573890 -83.78 0.00
   213 1  608.114378 -86.62 0.00
   214 1  606.884622 -85.91 0.00
   215 1  606.884622 -84.49 0.00
   216 1  608.114378 -83.78 0.00
   217 1  605.654866 -86.62 0.00
   218 1  604.425110 -85.91 0.00
   219 1  604.425110 -84.49 0.00
   220 1  605.654866 -83.78 0.00
   221 1  603.195354 -86.62 0.00
   222 1  601.965598 -85.91 0.00
   223 1  601.965598 -84.49 0.00
