# Lorenzo Manunza 14th April 2025

39524 atoms
1 atom types

-296.37121 296.37121 xlo xhi
-87.33000 87.33000 ylo yhi
-5000.00000 5000.00000 zlo zhi

Masses

1 12.011 # C

Atoms

    1 1  295.756336 -86.62 0.0
    2 1  294.526580 -85.91 0.0
    3 1  294.526580 -84.49 0.0
    4 1  295.756336 -83.78 0.0
    5 1  293.296823 -86.62 0.0
    6 1  292.067067 -85.91 0.0
    7 1  292.067067 -84.49 0.0
    8 1  293.296823 -83.78 0.0
    9 1  290.837311 -86.62 0.0
   10 1  289.607555 -85.91 0.0
   11 1  289.607555 -84.49 0.0
   12 1  290.837311 -83.78 0.0
   13 1  288.377799 -86.62 0.0
   14 1  287.148043 -85.91 0.0
   15 1  287.148043 -84.49 0.0
   16 1  288.377799 -83.78 0.0
   17 1  285.918287 -86.62 0.0
   18 1  284.688531 -85.91 0.0
   19 1  284.688531 -84.49 0.0
   20 1  285.918287 -83.78 0.0
   21 1  283.458775 -86.62 0.0
   22 1  282.229019 -85.91 0.0
   23 1  282.229019 -84.49 0.0
   24 1  283.458775 -83.78 0.0
   25 1  280.999263 -86.62 0.0
   26 1  279.769507 -85.91 0.0
   27 1  279.769507 -84.49 0.0
   28 1  280.999263 -83.78 0.0
   29 1  278.539751 -86.62 0.0
   30 1  277.309995 -85.91 0.0
   31 1  277.309995 -84.49 0.0
   32 1  278.539751 -83.78 0.0
   33 1  276.080238 -86.62 0.0
   34 1  274.850482 -85.91 0.0
   35 1  274.850482 -84.49 0.0
   36 1  276.080238 -83.78 0.0
   37 1  273.620726 -86.62 0.0
   38 1  272.390970 -85.91 0.0
   39 1  272.390970 -84.49 0.0
   40 1  273.620726 -83.78 0.0
   41 1  271.161214 -86.62 0.0
   42 1  269.931458 -85.91 0.0
   43 1  269.931458 -84.49 0.0
   44 1  271.161214 -83.78 0.0
   45 1  268.701702 -86.62 0.0
   46 1  267.471946 -85.91 0.0
   47 1  267.471946 -84.49 0.0
   48 1  268.701702 -83.78 0.0
   49 1  266.242190 -86.62 0.0
   50 1  265.012434 -85.91 0.0
   51 1  265.012434 -84.49 0.0
   52 1  266.242190 -83.78 0.0
   53 1  263.782678 -86.62 0.0
   54 1  262.552922 -85.91 0.0
   55 1  262.552922 -84.49 0.0
   56 1  263.782678 -83.78 0.0
   57 1  261.323166 -86.62 0.0
   58 1  260.093410 -85.91 0.0
   59 1  260.093410 -84.49 0.0
   60 1  261.323166 -83.78 0.0
   61 1  258.863653 -86.62 0.0
   62 1  257.633897 -85.91 0.0
   63 1  257.633897 -84.49 0.0
   64 1  258.863653 -83.78 0.0
   65 1  256.404141 -86.62 0.0
   66 1  255.174385 -85.91 0.0
   67 1  255.174385 -84.49 0.0
   68 1  256.404141 -83.78 0.0
   69 1  253.944629 -86.62 0.0
   70 1  252.714873 -85.91 0.0
   71 1  252.714873 -84.49 0.0
   72 1  253.944629 -83.78 0.0
   73 1  251.485117 -86.62 0.0
   74 1  250.255361 -85.91 0.0
   75 1  250.255361 -84.49 0.0
   76 1  251.485117 -83.78 0.0
   77 1  249.025605 -86.62 0.0
   78 1  247.795849 -85.91 0.0
   79 1  247.795849 -84.49 0.0
   80 1  249.025605 -83.78 0.0
   81 1  246.566093 -86.62 0.0
   82 1  245.336337 -85.91 0.0
   83 1  245.336337 -84.49 0.0
   84 1  246.566093 -83.78 0.0
   85 1  244.106581 -86.62 0.0
   86 1  242.876824 -85.91 0.0
   87 1  242.876824 -84.49 0.0
   88 1  244.106581 -83.78 0.0
   89 1  241.647068 -86.62 0.0
   90 1  240.417312 -85.91 0.0
   91 1  240.417312 -84.49 0.0
   92 1  241.647068 -83.78 0.0
   93 1  239.187556 -86.62 0.0
   94 1  237.957800 -85.91 0.0
   95 1  237.957800 -84.49 0.0
   96 1  239.187556 -83.78 0.0
   97 1  236.728044 -86.62 0.0
   98 1  235.498288 -85.91 0.0
   99 1  235.498288 -84.49 0.0
  100 1  236.728044 -83.78 0.0
  101 1  234.268532 -86.62 0.0
  102 1  233.038776 -85.91 0.0
  103 1  233.038776 -84.49 0.0
  104 1  234.268532 -83.78 0.0
  105 1  231.809020 -86.62 0.0
  106 1  230.579264 -85.91 0.0
  107 1  230.579264 -84.49 0.0
  108 1  231.809020 -83.78 0.0
  109 1  229.349508 -86.62 0.0
  110 1  228.119752 -85.91 0.0
  111 1  228.119752 -84.49 0.0
  112 1  229.349508 -83.78 0.0
  113 1  226.889996 -86.62 0.0
  114 1  225.660239 -85.91 0.0
  115 1  225.660239 -84.49 0.0
  116 1  226.889996 -83.78 0.0
  117 1  224.430483 -86.62 0.0
  118 1  223.200727 -85.91 0.0
