# Lorenzo Manunza 14th April 2025

118244 atoms
1 atom types

-886.65413 886.65413 xlo xhi
-87.33000 87.33000 ylo yhi
-5000.00000 5000.00000 zlo zhi

Masses

1 12.011 # C

Atoms

     1 1  886.039251 -86.62 0.0
     2 1  884.809495 -85.91 0.0
     3 1  884.809495 -84.49 0.0
     4 1  886.039251 -83.78 0.0
     5 1  883.579739 -86.62 0.0
     6 1  882.349983 -85.91 0.0
     7 1  882.349983 -84.49 0.0
     8 1  883.579739 -83.78 0.0
     9 1  881.120227 -86.62 0.0
    10 1  879.890470 -85.91 0.0
    11 1  879.890470 -84.49 0.0
    12 1  881.120227 -83.78 0.0
    13 1  878.660714 -86.62 0.0
    14 1  877.430958 -85.91 0.0
    15 1  877.430958 -84.49 0.0
    16 1  878.660714 -83.78 0.0
    17 1  876.201202 -86.62 0.0
    18 1  874.971446 -85.91 0.0
    19 1  874.971446 -84.49 0.0
    20 1  876.201202 -83.78 0.0
    21 1  873.741690 -86.62 0.0
    22 1  872.511934 -85.91 0.0
    23 1  872.511934 -84.49 0.0
    24 1  873.741690 -83.78 0.0
    25 1  871.282178 -86.62 0.0
    26 1  870.052422 -85.91 0.0
    27 1  870.052422 -84.49 0.0
    28 1  871.282178 -83.78 0.0
    29 1  868.822666 -86.62 0.0
    30 1  867.592910 -85.91 0.0
    31 1  867.592910 -84.49 0.0
    32 1  868.822666 -83.78 0.0
    33 1  866.363154 -86.62 0.0
    34 1  865.133398 -85.91 0.0
    35 1  865.133398 -84.49 0.0
    36 1  866.363154 -83.78 0.0
    37 1  863.903642 -86.62 0.0
    38 1  862.673885 -85.91 0.0
    39 1  862.673885 -84.49 0.0
    40 1  863.903642 -83.78 0.0
    41 1  861.444129 -86.62 0.0
    42 1  860.214373 -85.91 0.0
    43 1  860.214373 -84.49 0.0
    44 1  861.444129 -83.78 0.0
    45 1  858.984617 -86.62 0.0
    46 1  857.754861 -85.91 0.0
    47 1  857.754861 -84.49 0.0
    48 1  858.984617 -83.78 0.0
    49 1  856.525105 -86.62 0.0
    50 1  855.295349 -85.91 0.0
    51 1  855.295349 -84.49 0.0
    52 1  856.525105 -83.78 0.0
    53 1  854.065593 -86.62 0.0
    54 1  852.835837 -85.91 0.0
    55 1  852.835837 -84.49 0.0
    56 1  854.065593 -83.78 0.0
    57 1  851.606081 -86.62 0.0
    58 1  850.376325 -85.91 0.0
    59 1  850.376325 -84.49 0.0
    60 1  851.606081 -83.78 0.0
    61 1  849.146569 -86.62 0.0
    62 1  847.916813 -85.91 0.0
    63 1  847.916813 -84.49 0.0
    64 1  849.146569 -83.78 0.0
    65 1  846.687057 -86.62 0.0
    66 1  845.457300 -85.91 0.0
    67 1  845.457300 -84.49 0.0
    68 1  846.687057 -83.78 0.0
    69 1  844.227544 -86.62 0.0
    70 1  842.997788 -85.91 0.0
    71 1  842.997788 -84.49 0.0
    72 1  844.227544 -83.78 0.0
    73 1  841.768032 -86.62 0.0
    74 1  840.538276 -85.91 0.0
    75 1  840.538276 -84.49 0.0
    76 1  841.768032 -83.78 0.0
    77 1  839.308520 -86.62 0.0
    78 1  838.078764 -85.91 0.0
    79 1  838.078764 -84.49 0.0
    80 1  839.308520 -83.78 0.0
    81 1  836.849008 -86.62 0.0
    82 1  835.619252 -85.91 0.0
    83 1  835.619252 -84.49 0.0
    84 1  836.849008 -83.78 0.0
    85 1  834.389496 -86.62 0.0
    86 1  833.159740 -85.91 0.0
    87 1  833.159740 -84.49 0.0
    88 1  834.389496 -83.78 0.0
    89 1  831.929984 -86.62 0.0
    90 1  830.700228 -85.91 0.0
    91 1  830.700228 -84.49 0.0
    92 1  831.929984 -83.78 0.0
    93 1  829.470471 -86.62 0.0
    94 1  828.240715 -85.91 0.0
    95 1  828.240715 -84.49 0.0
    96 1  829.470471 -83.78 0.0
    97 1  827.010959 -86.62 0.0
    98 1  825.781203 -85.91 0.0
    99 1  825.781203 -84.49 0.0
   100 1  827.010959 -83.78 0.0
   101 1  824.551447 -86.62 0.0
   102 1  823.321691 -85.91 0.0
   103 1  823.321691 -84.49 0.0
   104 1  824.551447 -83.78 0.0
   105 1  822.091935 -86.62 0.0
   106 1  820.862179 -85.91 0.0
   107 1  820.862179 -84.49 0.0
   108 1  822.091935 -83.78 0.0
   109 1  819.632423 -86.62 0.0
   110 1  818.402667 -85.91 0.0
   111 1  818.402667 -84.49 0.0
   112 1  819.632423 -83.78 0.0
   113 1  817.172911 -86.62 0.0
   114 1  815.943155 -85.91 0.0
   115 1  815.943155 -84.49 0.0
   116 1  817.172911 -83.78 0.0
   117 1  814.713399 -86.62 0.0
   118 1  813.483643 -85.91 0.0
   119 1  813.483643 -84.49 0.0
   120 1  814.713399 -83.78 0.0
   121 1  812.253886 -86.62 0.0
   122 1  811.024130 -85.91 0.0
   123 1  811.024130 -84.49 0.0
   124 1  812.253886 -83.78 0.0
   125 1  809.794374 -86.62 0.0
   126 1  808.564618 -85.91 0.0
   127 1  808.564618 -84.49 0.0
   128 1  809.794374 -83.78 0.0
   129 1  807.334862 -86.62 0.0
   130 1  806.105106 -85.91 0.0
   131 1  806.105106 -84.49 0.0
   132 1  807.334862 -83.78 0.0
   133 1  804.875350 -86.62 0.0
   134 1  803.645594 -85.91 0.0
   135 1  803.645594 -84.49 0.0
   136 1  804.875350 -83.78 0.0
   137 1  802.415838 -86.62 0.0
   138 1  801.186082 -85.91 0.0
   139 1  801.186082 -84.49 0.0
   140 1  802.415838 -83.78 0.0
   141 1  799.956326 -86.62 0.0
   142 1  798.726570 -85.91 0.0
   143 1  798.726570 -84.49 0.0
   144 1  799.956326 -83.78 0.0
